_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
771,No,... < 0 DM,9,existing credits paid back duly till now,car (new),1422,< 100 DM,< 1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
772,No,... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,Yes,Yes
773,No,... < 0 DM,36,existing credits paid back duly till now,car (new),9271,< 100 DM,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,1,skilled employee / official,1,Yes,Yes
774,No,... < 0 DM,36,delay in paying off in the past,business,2145,< 100 DM,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,2,skilled employee / official,1,Yes,Yes
775,No,... < 0 DM,36,existing credits paid back duly till now,car (new),1842,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car or other,34,none,own,1,skilled employee / official,1,Yes,Yes
776,No,0 <= ... < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,< 100 DM,>= 7 years,4,male : divorced/separated,none,3,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
777,No,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,< 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
778,No,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,car or other,33,none,own,1,skilled employee / official,1,No,Yes
779,No,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
780,No,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),furniture/equipment,8386,< 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,49,none,own,1,skilled employee / official,1,No,Yes
781,No,... < 0 DM,24,delay in paying off in the past,radio/television,1024,< 100 DM,< 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,No,Yes
782,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),14318,< 100 DM,>= 7 years,4,male : single,none,2,unknown / no property,57,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
783,No,0 <= ... < 200 DM,6,all credits at this bank paid back duly,education,433,>= 1000 DM,< 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,bank,rent,1,skilled employee / official,2,No,Yes
784,No,... < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,< 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,No,Yes
785,No,no checking account,24,existing credits paid back duly till now,radio/television,2397,500 <= ... < 1000 DM,>= 7 years,3,male : single,none,2,car or other,35,bank,own,2,skilled employee / official,1,Yes,Yes
786,No,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,< 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,No,Yes
787,No,0 <= ... < 200 DM,15,delay in paying off in the past,repairs,1512,>= 1000 DM,1 <= ... < 4 years,3,male : married/widowed,none,3,building society savings agreement/ life insurance,61,stores,own,2,skilled employee / official,1,No,Yes
788,No,0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,< 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,Yes,Yes
789,No,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled - resident,1,No,Yes
790,No,0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,< 100 DM,< 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled - non-resident,1,No,Yes
791,No,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,< 100 DM,< 1 year,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,No,Yes
792,No,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,< 100 DM,< 1 year,2,male : divorced/separated,none,1,building society savings agreement/ life insurance,55,bank,own,1,skilled employee / official,1,Yes,Yes
793,No,... < 0 DM,12,existing credits paid back duly till now,education,795,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,No,Yes
794,No,... >= 200 DM / salary assignments for at least 1 year,30,delay in paying off in the past,business,1908,< 100 DM,>= 7 years,4,male : single,none,4,real estate,66,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
795,No,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
796,No,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,< 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,No,Yes
797,No,... >= 200 DM / salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),education,2319,< 100 DM,< 1 year,2,male : divorced/separated,none,1,car or other,33,none,rent,1,skilled employee / official,1,No,Yes
798,No,... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,No,Yes
799,No,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,No,Yes
800,No,... < 0 DM,24,existing credits paid back duly till now,car (new),1381,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,No,Yes
801,No,... < 0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1,No,Yes
802,No,... < 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee / official,1,No,Yes
803,No,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,No,Yes
804,No,... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,2,car or other,23,none,own,1,skilled employee / official,1,No,Yes
805,No,... < 0 DM,24,existing credits paid back duly till now,car (new),1207,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,No,Yes
806,No,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,< 1 year,3,female : divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee / official,1,No,Yes
807,No,... < 0 DM,60,delay in paying off in the past,business,6836,< 100 DM,>= 7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,Yes,Yes
808,No,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,< 100 DM,>= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
809,No,... < 0 DM,6,all credits at this bank paid back duly,education,1198,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,No,Yes
810,No,0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,23,none,own,1,skilled employee / official,1,Yes,Yes
811,No,... < 0 DM,60,existing credits paid back duly till now,business,7297,< 100 DM,>= 7 years,4,male : single,co-applicant,4,unknown / no property,36,none,rent,1,skilled employee / official,1,No,Yes
812,No,no checking account,18,existing credits paid back duly till now,repairs,1943,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,No,Yes
813,No,... < 0 DM,18,existing credits paid back duly till now,radio/television,3190,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,No,Yes
814,No,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
815,No,no checking account,18,delay in paying off in the past,furniture/equipment,1808,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,No,Yes
816,No,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,>= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,No,Yes
817,No,... < 0 DM,12,existing credits paid back duly till now,car (new),759,< 100 DM,4 <= ... < 7 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,No,Yes
818,No,0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,No,Yes
819,No,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,< 100 DM,< 1 year,2,female : divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee / official,1,No,Yes
820,No,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,10961,>= 1000 DM,4 <= ... < 7 years,1,male : single,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee / official,1,Yes,Yes
821,No,... < 0 DM,36,delay in paying off in the past,education,6887,< 100 DM,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,Yes,Yes
822,No,... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,< 100 DM,< 1 year,4,male : divorced/separated,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,No,Yes
823,No,... < 0 DM,21,existing credits paid back duly till now,radio/television,1835,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,Yes,Yes
824,No,... < 0 DM,24,delay in paying off in the past,radio/television,1659,< 100 DM,< 1 year,4,female : divorced/separated/married,none,2,car or other,29,none,rent,1,unskilled - resident,1,Yes,Yes
825,No,0 <= ... < 200 DM,6,delay in paying off in the past,car (new),1209,< 100 DM,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
826,No,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,No,Yes
827,No,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,< 100 DM,>= 7 years,3,male : single,co-applicant,4,building society savings agreement/ life insurance,43,none,rent,2,skilled employee / official,1,Yes,Yes
828,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,30,none,own,1,skilled employee / official,1,No,Yes
829,No,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,5951,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,No,Yes
830,No,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee / official,1,Yes,Yes
831,No,no checking account,36,delay in paying off in the past,radio/television,4463,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
832,No,no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,< 1 year,4,male : single,none,4,car or other,27,none,rent,2,skilled employee / official,1,Yes,Yes
833,No,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4210,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,1,skilled employee / official,1,No,Yes
834,No,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,No,Yes
835,No,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),11560,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,23,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
836,No,no checking account,18,no credits taken/ all credits paid back duly,business,4165,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,36,stores,own,2,skilled employee / official,2,No,Yes
837,No,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,< 100 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,43,none,own,1,skilled employee / official,1,Yes,Yes
838,No,no checking account,18,all credits at this bank paid back duly,car (new),6458,< 100 DM,>= 7 years,2,male : single,none,4,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
839,No,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,No,Yes
840,No,... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,>= 7 years,4,male : single,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
841,No,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,< 100 DM,< 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,No,Yes
842,No,no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled - resident,1,No,Yes
843,No,0 <= ... < 200 DM,24,existing credits paid back duly till now,others,11328,< 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,29,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
844,No,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,< 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
845,No,0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,No,Yes
846,No,0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,1919,100 <= ... < 500 DM,< 1 year,4,male : single,none,3,unknown / no property,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
847,No,0 <= ... < 200 DM,60,all credits at this bank paid back duly,others,14782,100 <= ... < 500 DM,>= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
848,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,No,Yes
849,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,Yes,Yes
850,No,0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,No,Yes
851,No,... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,No,Yes
852,No,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,1935,< 100 DM,>= 7 years,4,male : divorced/separated,none,4,real estate,31,none,own,2,skilled employee / official,1,Yes,Yes
853,No,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,No,Yes
854,No,no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,< 100 DM,< 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,No,Yes
855,No,... < 0 DM,48,existing credits paid back duly till now,car (new),3931,< 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,No,Yes
856,No,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,500 <= ... < 1000 DM,< 1 year,4,male : single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,2,Yes,Yes
857,No,... < 0 DM,36,existing credits paid back duly till now,radio/television,2302,< 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,4,car or other,31,none,rent,1,skilled employee / official,1,No,Yes
858,No,... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,< 100 DM,< 1 year,4,male : single,none,3,car or other,34,none,own,1,skilled employee / official,1,No,Yes
859,No,... < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,< 1 year,4,male : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,Yes,Yes
860,No,no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,No,Yes
861,No,... < 0 DM,48,existing credits paid back duly till now,business,4308,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,No,Yes
862,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,< 100 DM,< 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,No,Yes
863,No,no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,< 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,No,Yes
864,No,... < 0 DM,40,critical account/ other credits existing (not at this bank),education,5998,< 100 DM,1 <= ... < 4 years,4,male : single,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,Yes,Yes
865,No,... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,39,none,for free,2,skilled employee / official,1,Yes,Yes
866,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee / official,1,No,Yes
867,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,< 100 DM,< 1 year,1,male : married/widowed,none,4,car or other,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
868,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= ... < 500 DM,< 1 year,4,female : divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee / official,1,No,Yes
869,No,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,car or other,25,none,own,1,unskilled - resident,1,Yes,Yes
870,No,... < 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,< 100 DM,1 <= ... < 4 years,3,male : single,none,4,car or other,54,none,own,1,skilled employee / official,1,No,Yes
871,No,no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,Yes,Yes
872,No,no checking account,18,existing credits paid back duly till now,radio/television,433,< 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,No,Yes
873,No,no checking account,36,delay in paying off in the past,business,9572,< 100 DM,< 1 year,1,male : divorced/separated,none,1,car or other,28,none,own,2,skilled employee / official,1,No,Yes
874,No,0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,No,Yes
875,No,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,< 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
876,No,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,< 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
877,No,... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee / official,1,Yes,Yes
878,No,... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,No,Yes
879,No,... < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,>= 7 years,4,male : single,none,3,car or other,40,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
880,No,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,< 100 DM,unemployed,4,male : single,none,1,car or other,25,none,own,1,unemployed/ unskilled - non-resident,1,No,Yes
881,No,... >= 200 DM / salary assignments for at least 1 year,9,no credits taken/ all credits paid back duly,radio/television,1337,< 100 DM,< 1 year,4,male : single,none,2,car or other,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
882,No,... < 0 DM,48,existing credits paid back duly till now,car (new),7763,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
883,No,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),1264,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,No,Yes
884,No,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee / official,1,Yes,Yes
885,No,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,1,No,Yes
886,No,... < 0 DM,24,existing credits paid back duly till now,car (new),3123,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,No,Yes
887,No,... < 0 DM,36,critical account/ other credits existing (not at this bank),education,8065,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,unknown / no property,25,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
888,No,... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,Yes,Yes
889,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 <= ... < 500 DM,< 1 year,4,male : single,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
890,No,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),14027,< 100 DM,4 <= ... < 7 years,4,male : single,none,2,unknown / no property,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
891,No,... < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,< 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,own,2,skilled employee / official,1,Yes,Yes
892,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1484,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,25,none,own,1,skilled employee / official,1,Yes,Yes
893,No,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,< 100 DM,unemployed,4,female : divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee / official,1,No,Yes
894,No,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2064,< 100 DM,unemployed,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
895,No,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,< 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
896,No,no checking account,21,delay in paying off in the past,business,2580,500 <= ... < 1000 DM,< 1 year,4,male : single,none,2,real estate,41,bank,own,1,unskilled - resident,2,No,Yes
897,No,no checking account,27,existing credits paid back duly till now,car (new),2570,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,21,none,rent,1,skilled employee / official,1,No,Yes
898,No,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,36,none,own,1,skilled employee / official,2,Yes,Yes
899,No,no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,No,Yes
900,No,... < 0 DM,24,existing credits paid back duly till now,car (new),4817,< 100 DM,4 <= ... < 7 years,2,male : single,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,Yes,Yes
901,No,... < 0 DM,12,existing credits paid back duly till now,car (new),2579,< 100 DM,< 1 year,4,male : single,none,1,real estate,33,none,own,1,unskilled - resident,2,No,Yes
902,No,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,Yes,Yes
903,No,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,< 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,42,none,own,1,skilled employee / official,1,No,Yes
